date,time,street0,street1,location-notes,longitude,lattitude,total-fatality,total-injury,pedestrian-fatality,pedestrian-injury,bicycle-fatality,bicyle-injury,source,link0,link1,notes,entry-method
2022-02-20,19:00,SW Edy Rd,Trailblazer Place,,,,2,0,2,0,0,0,Oregonian,https://www.oregonlive.com/washingtoncounty/2022/02/sherwood-car-crash-kills-2-children.html,https://www.washingtoncountyda.org/news/evidence-does-not-support-criminal-charges-deadly-sherwood-crash,two children 11 and 16 killed,manual-entry
2022-03-15,07:20,SW Rood Bridge Rd,SW Farmington Rd,on Southwest Rood Bridge Road north of Southwest Farmington Road,,,1,0,0,0,1,0,KPTV,https://www.kptv.com/2022/03/15/bicyclist-dies-after-being-hit-by-driver-washington-county/,,cyclist killed,manual-entry
2022-03-15,08:00,SW Hall,SW Farmington,,,,1,0,1,0,0,0,KGW,https://www.kgw.com/article/news/local/beaverton-mayor-calls-for-road-upgrades-near-hit-and-run/283-d1b5603a-b63d-4094-bc88-d648ad33f037?s=03,,hit and run killed pedestrian,manual-entry
2022-04-11,18:00,SW 157th Ave,SW Barrows Rd,,,,1,0,1,0,0,0,KGW,https://www.kgw.com/article/news/crime/beaverton-pedestrian-killed-hit-and-run/283-3ed7cfca-703c-432f-9fa8-0c8ac2e95149,https://www.kgw.com/article/news/local/beaverton-hit-and-run-deadly-barrows-road-neighbors-call-for-change/283-0e4ccad7-41ea-4276-b179-34d33ad9bf93,hit and run killed Michael Frainey,manual-entry
2022-04-19,18:00,Tualatin Valley Highway,SW 198th Ave,,,,1,0,1,0,0,0,Pamplin,https://pamplinmedia.com/ht/117-hillsboro-tribune-news/542855-434782-wcso-skateboarder-struck-killed-by-vehicle-in-aloha,,skateboarder killed,manual-entry
2022-04-23,04:00,NW Cornelius Schefflin Rd,Wren Rd,between Wren and Kirkman Roads,,,0,1,0,0,0,0,Oregonian,https://www.oregonlive.com/commuting/2021/04/passenger-critically-injured-in-t-bone-crash-early-friday-morning-in-washington-county.html,,,manual-entry
2022-04-27,00:30,Tualatin Valley Highway,SW Murray Blvd,,,,2,4,0,0,0,0,Oregonian,https://www.oregonlive.com/pacific-northwest-news/2022/04/beaverton-crash-involving-sheriffs-deputy-kills-2-leaves-4-in-critical-condition.html,,major crash including sherrif's deputy,manual-entry
2022-05-21,00:00,SW 1st St,SW Hall Blvd,,,,0,1,0,0,0,1,eyewitness,https://twitter.com/kevinteater/status/1568709483207213056,,,manual-entry
2022-06-14,01:30,HWY 26,HWY 6,,,,0,1,0,0,0,0,Oregonian,https://www.oregonlive.com/commuting/2022/06/crash-closes-us-26-in-both-directions-near-banks.html,,,manual-entry
2022-06-19,14:00,HWY 219,SW Burkhalter Rd,,,,0,4,0,0,0,0,KPTV,https://www.kptv.com/2022/06/19/4-injured-1-pulled-vehicle-crash-hillsboro-hwy/,,,manual-entry
