date,time,street0,street1,location-notes,longitude,lattitude,total-fatality,total-injury,pedestrian-fatality,pedestrian-injury,bicycle-fatality,bicyle-injury,source,links,notes,entry-method
2023-01-02,16:30,SW Baseline St,SW 17th Ave,Hillsboro,,,0,3,0,0,0,0,TVFR,"https://twitter.com/HillsboroFire/status/1610076208561270784,https://www.koin.com/news/crashes/3-hospitalized-after-serious-2-car-crash-in-hillsboro/?utm_campaign=socialflow&utm_medium=referral&utm_source=t.co",,manual-entry
2023-01-05,07:00,19th Avenue,Hawthorne St,Forest Grove,-123.099249,45.518353,1,1,1,1,0,0,Forest Grove Police,"https://flashalert.net/id/ForestGrovePolice/160338,https://www.koin.com/news/crashes/lifeflight-called-to-serious-morning-crash-in-forest-grove/,https://kunptv.com/news/local/muere-mujer-de-forest-grove-tras-ser-embestida-mientras-paseaba-a-beb-en-carriola",Lourdes Turcios García was the victim,manual-entry
2023-01-06,17:00,SW Murray Blvd,SW Weir Rd,,,,0,1,0,0,0,0,TVFR,https://twitter.com/TVFR/status/1611538066333896704,,manual-entry
2023-01-21,14:00,HWY 47,NW Speedborough Rd,on 47 between Speedborough Rd and NW Osterman Rd,-123.105806,45.562283,1,0,0,0,0,0,KOIN,"https://www.koin.com/news/crashes/osp-man-crashes-dies-after-fleeing-earlier-hwy-47-collision/,https://twitter.com/WCSOOregon/status/1616935472454045696",,manual-entry
2023-01-30,07:00,HWY 26,NW Murray Blvd,,-122.815788,45.522354,0,1,0,0,0,0,TVFR,https://twitter.com/TVFR/status/1620101883489812481,,manual-entry
2023-02-01,06:30,HWY 26,NW Murray Blvd,,-122.815788,45.522354,1,0,0,0,0,0,KPTV,https://www.kptv.com/2023/02/01/motorcyclist-dies-after-being-hit-by-car-overpass-beaverton/,motorcyclist killed,manual-entry
2023-02-01,15:30,HWY 47,Porter Rd,on 47 between Porter Rd and Sunset Dr,,,0,1,0,1,0,0,Forest Grove Fire,"https://twitter.com/ForestGroveFire/status/1620934022980575234,https://twitter.com/WashCoScanner/status/1620932348908023808",pedestrian crash life flight,manual-entry
2023-02-03,12:30,HWY 26,NW Ridge Rd,there is no Ridge Rd other reports say MP 41,-123.163418,45.663226,1,2,0,0,0,0,KOIN,"https://www.koin.com/news/crashes/lengthy-closure-expected-on-highway-26-following-deadly-crash/,https://twitter.com/WCSOOregon/status/1621606567182491648",,manual-entry
2023-02-13,05:00,NE Cornell Road,NE Stucki Blvd,,-122.877801,45.534684,1,0,1,0,0,0,KPTV,"https://www.kptv.com/2023/02/13/man-seriously-injured-after-being-hit-by-van-hillsboro/,https://kunptv.com/news/local/una-persona-resulta-atropellada-por-vehculo-en-hillsboro,https://katu.com/news/local/driver-hits-pedestrian-near-streets-of-tanasbourne-in-hillsboro-cornell-rd-closes-traffic-block-road-transit-commute-hit-run-accident,https://www.koin.com/news/crashes/investigation-underway-after-pedestrian-struck-in-hillsboro/,https://hillsboro-oregon.civicweb.net/document/55364/TC%20Crash%20Report%20Memo%202.23.23.pdf",life-threatening injuries,manual-entry
2023-02-17,17:00,NW Gales Creek Road,NW Balm Grove Loop,,-123.220359,45.598190,1,0,1,0,0,0,Gales Creek Journal,"https://www.galescreekjournal.com/2023/02/gales-creek-road-closed-for-fatal-crash-involving-pedestrian/,https://www.koin.com/local/washington-county/pedestrian-struck-killed-by-dump-truck-in-washington-county/",pedestrian killed by dump truck,manual-entry
2023-02-17,15:00,HWY 47,NW Nowakowski Rd,MP 74,-123.199895,45.724131,2,1,0,0,0,0,Oregon State Police,"https://flashalert.net/id/OSPOre/161319,https://www.koin.com/news/crashes/2-killed-1-badly-injured-in-hwy-47-crash-near-vernonia/",head on crash,manual-entry
