date,time,street0,street1,location-notes,longitude,lattitude,total-fatality,total-injury,pedestrian-fatality,pedestrian-injury,bicycle-fatality,bicyle-injury,source,links,notes,entry-method
2019-06-28,14:00,NW 185TH AVE,WB EF 185TH AVE C6,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.86753885,45.5425564225,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-21,15:00,SW FARMINGTON RD,SW TILE FLAT RD,Straight Roadway/RURAL MINOR ARTERIAL,-122.927021889,45.4474088526,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-09,11:00,US 26,MP 60.0,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.945461909,45.571109829,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-08-09,18:00,SW BOONES FERRY RD,SW MARTINAZZI AVE,Intersection/URBAN MINOR ARTERIAL,-122.759029786,45.3847501051,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-09-06,21:00,E ST,PACIFIC AVE,Intersection/URBAN MINOR ARTERIAL,-123.121265279,45.5200470744,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-02-23,20:00,OR 99W,MP 14.08,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.831289853,45.3802935711,0,5,0,0,0,0,ODOT,,,extract-odot.py
2019-03-30,15:00,OR 99W,MP 13.91,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.828457079,45.3813742885,1,1,0,0,0,0,ODOT,,,extract-odot.py
2019-06-09,05:00,SW CORNELIUS PASS RD,SE TUALATIN VALLEY HY,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.902201445,45.4975071155,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-04-17,12:00,NW MILNE RD,NW ZION CHURCH RD,Intersection/RURAL MINOR ARTERIAL,-123.03241037,45.5736860835,1,0,0,0,0,0,ODOT,,,extract-odot.py
2019-02-04,05:00,SW BEAV-TUALATIN HY,SW DAY RD,Intersection/URBAN MINOR ARTERIAL,-122.773583278,45.3403639315,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-06-15,23:00,SW PACIFIC HY 99W,SW 72ND AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.751346951,45.4397980334,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-11-20,18:00,NE BROOKWOOD PKY,E MAIN ST,Intersection/URBAN MINOR ARTERIAL,-122.936623254,45.5199208479,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-09-15,19:00,OR 47,MP 75.12,Curve (horizontal curve)/RURAL MINOR ARTERIAL,-123.202355303,45.708199908,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-03-28,09:00,OR 6,MP 50.03,Intersection/RURAL MINOR ARTERIAL,-123.095402337,45.6102378539,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-06-13,07:00,NW CORNELIUS PASS RD,NW GERMANTOWN RD,Straight Roadway/RURAL MINOR ARTERIAL,-122.875390802,45.5800298327,0,1,0,0,0,0,ODOT,,,extract-odot.py
